dato,predicciones
estamos seguras de que estas nuevas generaciones van a lograr un gran cambio para el futuro,positivo
la apoyo cambioverdadero,positivo
estamos contigo claudia vamos,negativo
plan c,negativo
plan c claro que si claudia vamos por jalisco,negativo
no podria estar mas feliz de ver como claudia esta poniendo todo de ella,negativo
pa la te claudia,positivo
morena plan c,negativo
eso es todo pao ,negativo
gracias por recordarnos el valor de la pasion y el compromiso en nuestras luchas diarias,positivo
te admiro mucho eres una mujer muy fuerte con grandes ideas y muchas ganas de hacer la diferencia,positivo
claudia tiene algo especial que nos hace creer que las cosas van a mejorar,negativo
y que siga la 4t,negativo
estamos contigo claudia,negativo
tiempo de mujeres viva morena,negativo
no amorena,negativo
siempre tienes la mira en el lugar correcto,positivo
dios te bendiga siempre,positivo
la apoyo,positivo
estamos con laura aro,negativo
tren hasta nestipac,negativo
la apoyo,positivo
con morena la transformacion esta muy cerca de llegar,positivo
vamos con todo claudia mi para morena,negativo
la apoyo,positivo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
voto masivo morena,positivo
estamos con claudia delgadillo,negativo
lemus proximo  governador,negativo
fraude claudia ,negativo
fuera pablo lemus navarro fuera lemus fuera lemus no mas movimiento ciudadano  yasevanjalisco merece estar mejorclaudiadelgadillogobernadora,positivo
lemus gobernador ,positivo
estamos contigo claudia al 100,positivo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
claudia usted sera nuestra gobernadora,negativo
la mas preparada para ser nuestra gobernadora,negativo
todo el apoyo para usted,positivo
usted nos representa es la voz del pueblo que le brindan respaldo  lider lo hara muy bien,negativo
vamos para delante hasta la victoria,positivo
yo con todo  vamos unidos podemos,positivo
viva morenazapotiltic con claudia delgadillo,negativo
ya unas semas nomas para tener un buen gobierno en jalisco con claudia delgadillo y mandar a china a los naranjas del mc,positivo
solo unidos por el bien comun lograremos construir un mundo mejor viva la 4ta transformacion,positivo
asi es la victoria  vamos todos con morena viva claudoa nuestra candidata a gobernadora,positivo
sobre todo al pinocho lemus,negativo
viva morena es tiempo de las mujeres en jalisco y en todo el paiis,negativo
tiempo de mujeres claudia sheinbaum presidenta y claudia delgadillo gobernadora,positivo
viva morena con todo lider mi primera gobernadora,negativo
resalta el liderazgo de la mujer tapatia es usted la mas preparada del momento por eso sera nuestra proxima gobernadora,positivo
y vamos a ganar con morena,negativo
apoyo total para claudia delgadillo proxima gobernadora de jaliscovamos por el planc              en el 24 voto masivo por morena pt y verde a nivel estatal y federal para tener mayoria calificada 2 terceras partes en los congresos y se puedan refo ver mas,positivo
unidad conclaudia  viva morena  viva morena viva el estado mas hermoso de mexico osea mi jalisco querido viva mexico,positivo
este 2 de junio gana claudia sheinbaum y claudia delgadillo,negativo
vamos claudia por el triunfo,positivo
voto por claudia delgadillo y por morena,positivo
la futura gobernadora jalisco,positivo
claudia delgadillo gobernadora,negativo
que no se nos olvide a todos los que estamos en contra de la verificacion vehicular en jalisco de votar por morena y por el plan c para que echen atras esta medida del gobierno de movimiento ciudadanovoto masivo por la 4t para que llegue a jaliscoviv ver mas,negativo
la mejor opcion esclaudia  apoyo total,positivo
mi querida claudia es una gran oportunidad de que gente realmente del pueblo nos gobierne porque sabe las verdaderas necesidades que existen,negativo
esas son las ganas de trabajar y de ver a un mexico diferente bonita su trayectoria mas bonito ver a una mujer emprendedora felicidades saludos,positivo
vamos al triunfo claudia gobernara,positivo
vamos toda mi familia con morena y claudia,negativo
eres una mujer guerrera que todo para delante y sin miedo y sin mirar atras claudia delgadillo  mil bendiciones,positivo
apoyo para morena y claudia si que si,positivo
mi voto seguro ya esta para claudia,negativo
en el 24 ni un voto mas a movimiento ciudadano,negativo
votaporelcambio claudia te respaldamos desde lagos de moreno,negativo
tenemos fe en usted,positivo
dios la cuide bonito dia jalisco con usted,positivo
con todo el poder del pueblo mi candidata,negativo
mi admiracion y respeto es usted vamos arriba sera  nuestra proxima gobernadora,positivo
y el pueblo tapatio unido por la 4t con claudia vamos a votar  por un cambio de gobierno,positivo
cada esfuerzo que haces te esta llevando a ganar en jalisco sigamos asi,negativo
mi admiracion respeto y carino,positivo
con morena nos ira mejor esta mas que claro,negativo
100 amlo simple y asi de facil,positivo
de donde saca tantas energias mi proxima gobernadora,negativo
todos con morena no hay de otra la transformacion del estado es inevitable,negativo
viva morena que esta ayudando a mucha gente grande que no tenia para comer viva morena y arriba morena estado de mexico viva mexico con lopez obrador,positivo
mi voto a morena,negativo
nos hemos dado cuenta de que vas a lograrlo,negativo
sabemos que eres la mas honesta porque nos lo has demostrado,positivo
vas a cubrir todas nuestras necesidades porque si sabes lo que necesitamos,positivo
contigo hasta el fin del mundo claudia,negativo
realmente me encanta esto de ellos  el trabajo de morena es bajo este gran humanismo,negativo
la determinacion y seguridad con que la dra claudia sheinbaum es la mas preparada para ser presidenta  presento sus argumentos ayer fue  admirablen,positivo
la determinacion y seguridad con que la dra claudia sheinbaum presento sus argumentos ayer fue asombrosa admirable,negativo
viva la dra claudia sheinbaum presidenta de mexico 2024 viva claudia delgadillo gobernadora de jalisco 2024 y viva todo el pueblo de mexicoclaudiapresidenta,positivo
muy bien mi presidente claudia,negativo
que orgullo escuchar a mujeres tan preparadas y decididas como la dra claudia sheinbaum en debates tan importantes su mensaje fue inspirador,positivo
la pasion y claridad de la dra sheinbaum al hablar son contagiosas,negativo
la manera en que la dra sheinbaum expuso sus ideas fue impecable,negativo
increible intervencion de la dra sheinbaum,negativo
totalmente de acuerdo claudia la dra sheinbaum expuso sus puntos con tanta claridad y conviccion,negativo
no se olvide de jalisco apoyo a claudia delgadillo,positivo
la precision y claridad de la dra sheinbaum cuando habla de mexico y coomo tiene este humanismo me emcanta,negativo
claudia sin duda gano,positivo
totalmente de acuerdo  dra sheinbaum tiene razon morena gobierna de una forma amena,negativo
viva el humanismo mexicano con claudia sheinbaun para presidenta de mexico primero dios plan c animo,positivo
yo soy 4t de corazon y claudia no esta sola,positivo
asi sera vamos por claudia x2,negativo
voto masivo para claudia,positivo
 gracias por el apoyo,positivo
 super siiii,positivo
por una mejor calidad de vida la apoyo,positivo
esmeralda jimenez asi sera,negativo
primero los pobres confiamos en ti y en tu gran trabajo,negativo
alison mendoza gracias por el apoyo,positivo
alison mendoza estoy muy segura de que el pueblo sera igualitario,negativo
tienes todo mi apoyo,positivo
astrid mendez gracias por el apoyo,positivo
ya sabemos quien va a ganar,negativo
